cuenta_id,nombre,saldo,edad,tipo
137,Bob Johnson,7000,,prestamo
114,Unknown,,30,-1
133,Alice Brown,12000,100,hipoteca
106,Jane Smith,12000,40,prestamo
122,Bob Johnson,7000,40,hipoteca
108,Jane Smith,12000,100,prestamo
124,Bob Johnson,12000,35,hipoteca
138,Steve Rogers,10000,25,-1
113,Charlie Green,,35,hipoteca
133,Steve Rogers,12000,40,prestamo
102,Alice Brown,12000,45,-1
130,Diana Prince,12000,45,hipoteca
137,Steve Rogers,12000,30,ahorro
145,Charlie Green,8000,150,ahorro
127,Bob Johnson,5000,30,ahorro
117,Steve Rogers,12000,100,ahorro
128,Diana Prince,7000,100,prestamo
147,Alice Brown,8000,100,hipoteca
148,John Doe,7000,,prestamo
142,Steve Rogers,5000,,-1
109,Charlie Green,7000,45,hipoteca
103,Jane Smith,8000,30,-1
110,Unknown,5000,35,-1
111,Diana Prince,10000,,hipoteca
136,Charlie Green,8000,100,-1
146,Steve Rogers,,30,ahorro
134,Charlie Green,8000,150,-1
113,Alice Brown,10000,45,prestamo
107,Alice Brown,,25,prestamo
111,Diana Prince,5000,30,prestamo
103,Jane Smith,7000,40,unknown
110,Jane Smith,8000,100,ahorro
116,Diana Prince,,,prestamo
105,Diana Prince,10000,25,prestamo
141,Unknown,7000,,ahorro
120,John Doe,,,-1
143,Steve Rogers,12000,30,ahorro
140,John Doe,,45,-1
107,Diana Prince,,25,ahorro
133,Alice Brown,10000,45,hipoteca
136,Steve Rogers,5000,40,hipoteca
150,Charlie Green,,40,hipoteca
137,Steve Rogers,,35,prestamo
126,Jane Smith,5000,25,-1
133,Diana Prince,8000,40,prestamo
126,Bob Johnson,12000,35,prestamo
104,Steve Rogers,8000,45,-1
143,Charlie Green,,150,hipoteca
133,Steve Rogers,,100,-1
121,Alice Brown,12000,100,-1
118,John Doe,8000,40,prestamo
104,Jane Smith,12000,150,ahorro
127,John Doe,5000,100,hipoteca
108,John Doe,8000,45,prestamo
123,Diana Prince,7000,,hipoteca
138,Alice Brown,5000,,-1
121,Steve Rogers,8000,,hipoteca
107,Charlie Green,10000,150,hipoteca
119,John Doe,10000,100,-1
122,Jane Smith,12000,25,prestamo
132,Jane Smith,10000,100,hipoteca
137,Bob Johnson,8000,,ahorro
139,Bob Johnson,,35,prestamo
102,Alice Brown,8000,,ahorro
133,Steve Rogers,10000,25,hipoteca
141,Bob Johnson,,,ahorro
140,Bob Johnson,8000,40,-1
126,Alice Brown,12000,,prestamo
110,Charlie Green,7000,45,hipoteca
123,John Doe,12000,100,prestamo
140,Steve Rogers,7000,40,ahorro
128,Jane Smith,8000,35,ahorro
107,Diana Prince,,25,-1
107,Unknown,5000,,ahorro
120,Bob Johnson,,40,-1
111,Charlie Green,12000,40,-1
106,Steve Rogers,7000,40,hipoteca
120,Unknown,,40,prestamo
132,Unknown,10000,30,hipoteca
137,Alice Brown,8000,100,hipoteca
119,Bob Johnson,10000,25,-1
136,Charlie Green,10000,35,-1
130,Charlie Green,,25,-1
137,John Doe,,40,-1
102,Bob Johnson,8000,45,-1
114,Charlie Green,10000,,-1
112,Steve Rogers,10000,,ahorro
140,Jane Smith,,35,-1
110,Charlie Green,7000,25,-1
105,Jane Smith,8000,40,prestamo
111,John Doe,5000,35,hipoteca
134,Alice Brown,10000,30,prestamo
149,Bob Johnson,8000,,ahorro
124,Bob Johnson,10000,25,prestamo
147,Alice Brown,12000,40,ahorro
122,Bob Johnson,,100,-1
102,Jane Smith,7000,,prestamo
138,John Doe,12000,150,prestamo
121,Steve Rogers,5000,35,prestamo
139,Alice Brown,5000,100,unknown
136,Alice Brown,10000,,ahorro
103,Charlie Green,8000,30,-1
147,Bob Johnson,7000,100,hipoteca
127,Alice Brown,7000,,-1
149,Alice Brown,10000,25,-1
115,Charlie Green,8000,45,-1
131,Steve Rogers,8000,150,-1
148,Bob Johnson,,30,unknown
106,Unknown,7000,30,ahorro
120,Jane Smith,5000,40,hipoteca
108,Jane Smith,10000,100,ahorro
130,Steve Rogers,5000,45,prestamo
113,Jane Smith,10000,,unknown
135,Charlie Green,12000,150,-1
150,Steve Rogers,,,hipoteca
123,Diana Prince,,30,ahorro
146,Jane Smith,12000,100,hipoteca
105,Steve Rogers,8000,25,-1
127,Diana Prince,,150,-1
113,Charlie Green,,30,-1
145,Diana Prince,,25,-1
123,Bob Johnson,5000,25,ahorro
142,John Doe,,35,hipoteca
141,Steve Rogers,8000,35,ahorro
146,Charlie Green,7000,30,ahorro
133,John Doe,12000,35,-1
